Time,PSim_Time,Alt-AGL-ft,Alt-ft,KIAS,Mach,Vg-kt,DownV-fps,EastV-fps,NorthV-fps,Nx,Ny,Nz,alpha-deg,beta-deg,HDG-rad,phi-deg,theta-deg,psi-deg,sigma-rad,ail,elev,rud,OAT-C,KIAS_filt
1970-01-01 18:47:40.679687500,67660.6796875,6167.8,10624.8,249.8,0.45197,291.85,0.57,202.29,449.14,0.0765,-0.0077,1.1458,3.5426,0.3374,0.4356,30.0021,3.1665,24.956,0.4232,0,0,0,-2.679,250.094316492242
1970-01-01 18:47:40.843750000,67660.84375,6149.7,10625,249.9,0.45199,291.9,0.58,205.65,447.69,0.0766,-0.0077,1.1452,3.5391,0.3355,0.443,30.0019,3.162,25.3846,0.4306,0,0,0,-2.68,250.095336793196
1970-01-01 18:47:41.078125000,67661.078125,6117.9,10625.2,249.9,0.45202,291.95,0.58,209.42,446.03,0.0767,-0.0077,1.1446,3.5357,0.3338,0.4515,30.0016,3.1568,25.8663,0.439,0,0,0,-2.68,250.096619303568
1970-01-01 18:47:41.265625000,67661.265625,6058.8,10625.4,249.9,0.45204,291.99,0.59,212.62,444.6,0.0768,-0.0077,1.1442,3.5333,0.3325,0.4586,30.0014,3.1526,26.2765,0.4461,0,0,0,-2.681,250.09815872631
1970-01-01 18:47:41.468750000,67661.46875,5997.5,10625.6,249.9,0.45207,292.04,0.6,216.09,443.01,0.0768,-0.0077,1.1439,3.5311,0.3314,0.4664,30.0012,3.1484,26.7222,0.4538,0,0,0,-2.681,250.09994956657
1970-01-01 18:47:41.648437500,67661.6484375,5943.3,10625.8,249.9,0.45209,292.08,0.62,218.99,441.66,0.0768,-0.0077,1.1437,3.5294,0.3306,0.4729,30.0011,3.145,27.0966,0.4603,0,0,0,-2.681,250.101986136284
1970-01-01 18:47:41.875000000,67661.875,5864.1,10625.9,249.9,0.45212,292.12,0.63,222.43,440.03,0.0768,-0.0076,1.1435,3.5278,0.3299,0.4807,30.0009,3.141,27.5421,0.468,0,0,0,-2.682,250.104262552437
1970-01-01 18:47:42.046875000,67662.046875,5785.8,10626.1,249.9,0.45215,292.17,0.64,225.45,438.57,0.0769,-0.0077,1.1435,3.5269,0.3296,0.4875,30.0008,3.1378,27.9342,0.4748,0,0,0,-2.682,250.10677273508
1970-01-01 18:47:42.265625000,67662.265625,5671.2,10626.3,250,0.45218,292.22,0.66,229.28,436.68,0.0769,-0.0077,1.1435,3.5261,0.3293,0.4963,30.0006,3.1338,28.4332,0.4835,0,0,0,-2.682,250.109510411201
1970-01-01 18:47:42.460937500,67662.4609375,5593.5,10626.4,250,0.4522,292.26,0.67,231.73,435.45,0.0769,-0.0077,1.1435,3.5256,0.3291,0.5019,30.0005,3.1314,28.754,0.489,0,0,0,-2.682,250.112469136651
1970-01-01 18:47:42.671875000,67662.671875,5487,10626.6,250,0.45224,292.31,0.68,235.8,433.37,0.0769,-0.0077,1.1436,3.5251,0.3289,0.5112,30.0004,3.1276,29.2888,0.4983,0,0,0,-2.683,250.115642330009
1970-01-01 18:47:42.937500000,67662.9375,5405.5,10626.7,250,0.45227,292.35,0.7,238.51,431.97,0.0768,-0.0077,1.1437,3.5248,0.3289,0.5174,30.0003,3.1253,29.6453,0.5045,0,0,0,-2.683,250.119023294074
1970-01-01 18:47:43.062500000,67663.0625,5292.1,10626.9,250,0.4523,292.41,0.71,242.14,430.04,0.0768,-0.0077,1.1442,3.5258,0.3293,0.5258,30.0003,3.1225,30.1269,0.5128,0,0,0,-2.683,250.122605218855
1970-01-01 18:47:43.273437500,67663.2734375,5189.8,10627,250,0.45233,292.45,0.72,245.5,428.23,0.0768,-0.0077,1.1446,3.5266,0.3296,0.5336,30.0002,3.1201,30.5731,0.5205,0,0,0,-2.684,250.126381178291
1970-01-01 18:47:43.445312500,67663.4453125,5100,10627.1,250,0.45236,292.49,0.72,248.17,426.76,0.0768,-0.0077,1.1449,3.5272,0.3298,0.5398,30.0001,3.1183,30.9301,0.5267,0,0,0,-2.684,250.130344126753
1970-01-01 18:47:43.648437500,67663.6484375,4993.6,10627.3,250.1,0.45239,292.54,0.73,251.37,424.97,0.0767,-0.0077,1.1451,3.5277,0.33,0.5473,30.0001,3.1161,31.3585,0.5341,0,0,0,-2.684,250.134486901468
1970-01-01 18:47:43.867187500,67663.8671875,4871.8,10627.4,250.1,0.45242,292.59,0.73,255.09,422.86,0.0767,-0.0077,1.1454,3.5279,0.3302,0.556,30,3.1133,31.8582,0.5428,0,0,0,-2.685,250.138802243015
1970-01-01 18:47:44.062500000,67664.0625,4844.4,10627.5,250.1,0.45243,292.62,0.73,256.54,422.02,0.0766,-0.0077,1.1455,3.528,0.3303,0.5595,30,3.1122,32.0546,0.5462,0,0,0,-2.685,250.143282827835
1970-01-01 18:47:44.265625000,67664.265625,4762.1,10627.7,250.1,0.45248,292.69,0.73,261.42,419.16,0.0765,-0.0077,1.1457,3.5277,0.3306,0.571,29.9999,3.1082,32.7149,0.5576,0,0,0,-2.685,250.147921288388
1970-01-01 18:47:44.460937500,67664.4609375,4716.9,10627.8,250.1,0.45251,292.73,0.73,264.43,417.35,0.0764,-0.0077,1.1457,3.5268,0.3307,0.5781,29.9999,3.1054,33.1251,0.5648,0,0,0,-2.685,250.152710214882
1970-01-01 18:47:44.648437500,67664.6484375,4679.2,10628,250.1,0.45253,292.77,0.73,267.17,415.68,0.0763,-0.0077,1.1456,3.5252,0.3307,0.5847,29.9999,3.1023,33.4993,0.5712,0,0,0,-2.686,250.157642150757
1970-01-01 18:47:44.875000000,67664.875,4635.4,10628.1,250.2,0.45257,292.82,0.74,270.8,413.43,0.0761,-0.0077,1.1452,3.5227,0.3306,0.5934,29.9999,3.0976,33.9979,0.5799,0,0,0,-2.686,250.162709594113
1970-01-01 18:47:45.117187500,67665.1171875,4597.8,10628.2,250.2,0.4526,292.87,0.74,273.9,411.48,0.076,-0.0077,1.1448,3.5205,0.3305,0.6008,29.9999,3.0936,34.4252,0.5873,0,0,0,-2.686,250.167905017266
1970-01-01 18:47:45.265625000,67665.265625,4571.4,10628.4,250.2,0.45262,292.9,0.74,276.6,409.75,0.0759,-0.0076,1.1447,3.5193,0.3307,0.6074,29.9999,3.0902,34.7991,0.5938,0,0,0,-2.686,250.173220898354
1970-01-01 18:47:45.468750000,67665.46875,4549.3,10628.5,250.2,0.45265,292.95,0.75,280.05,407.5,0.0757,-0.0077,1.1446,3.5178,0.3307,0.6158,29.9999,3.086,35.28,0.6021,0,0,0,-2.687,250.178649740644
1970-01-01 18:47:45.648437500,67665.6484375,4533.5,10628.6,250.2,0.45267,292.99,0.76,282.6,405.81,0.0756,-0.0077,1.1445,3.5168,0.3307,0.622,29.9999,3.0831,35.6363,0.6083,0,0,0,-2.687,250.184184073437
1970-01-01 18:47:45.875000000,67665.875,4514.1,10628.7,250.2,0.4527,293.03,0.77,285.64,403.77,0.0754,-0.0077,1.1445,3.5157,0.3305,0.6294,29.9999,3.0798,36.0638,0.6157,0,0,0,-2.687,250.189816446791
1970-01-01 18:47:46.070312500,67666.0703125,4490.8,10628.8,250.3,0.45273,293.08,0.78,289.17,401.35,0.0753,-0.0077,1.1443,3.514,0.3304,0.6381,29.9999,3.0757,36.5625,0.6243,0,0,0,-2.687,250.195539432215
