Time,PSim_Time,Alt-AGL-ft,Alt-ft,KIAS,Mach,Vg-kt,DownV-fps,EastV-fps,NorthV-fps,Nx,Ny,Nz,alpha-deg,beta-deg,HDG-rad,phi-deg,theta-deg,psi-deg,sigma-rad,ail,elev,rud,OAT-C,KIAS_filt
1970-01-01 19:09:58.070312500,68998.0703125,30105.3,31722.5,325.1,0.81764,480.63,1.89,32.66,810.56,0.0379,-0.0046,1.0034,1.7898,0.1363,0.0928,7.8881,1.5788,5.3165,0.0403,0,0,0,-43.972,305.346942248184
1970-01-01 19:09:58.273437500,68998.2734375,30095.9,31722.7,325.2,0.81791,480.63,1.95,33.52,810.51,0.0343,-0.019,0.9798,1.7122,0.2299,0.0944,8.8455,1.5719,5.4093,0.0413,0,0,0,-43.972,305.345323192936
1970-01-01 19:09:58.468750000,68998.46875,30111.7,31722.8,325,0.81733,480.61,2.19,34.56,810.44,0.0338,-0.0017,0.9683,1.6749,0.1815,0.0963,9.7957,1.57,5.5187,0.0426,0,0,0,-43.973,305.343821873447
1970-01-01 19:09:58.671875000,68998.671875,30127.5,31722.9,325.1,0.81776,480.59,2.52,35.61,810.37,0.0323,-0.0184,0.9553,1.6125,0.2434,0.0981,10.7468,1.5702,5.6203,0.0439,0,0,0,-43.973,305.342438097948
1970-01-01 19:09:58.875000000,68998.875,30142.4,31722.9,325,0.81741,480.57,2.86,36.77,810.27,0.0323,-0.0004,0.9627,1.6682,0.2524,0.1003,11.701,1.5688,5.7459,0.0453,0,0,0,-43.973,305.341171418761
1970-01-01 19:09:59.070312500,68999.0703125,30157.1,31722.9,325.5,0.8187,480.54,3.15,38.08,810.17,0.0336,-0.0009,0.9811,1.7095,0.2299,0.1026,12.622,1.5719,5.8781,0.047,0,0,0,-43.973,305.340021133645
1970-01-01 19:09:59.273437500,68999.2734375,30153.3,31722.8,325.6,0.81875,480.51,3.31,39.49,810.04,0.0332,-0.0153,1.0036,1.7754,0.2442,0.1048,13.35,1.5736,6.0072,0.0487,0,0,0,-43.973,305.338986390562
1970-01-01 19:09:59.468750000,68999.46875,30153.4,31722.7,326,0.81987,480.46,3.5,40.97,809.9,0.0301,-0.0053,0.9908,1.7105,0.213,0.1074,13.8723,1.5771,6.1522,0.0505,0,0,0,-43.972,305.338066401953
1970-01-01 19:09:59.671875000,68999.671875,30153.6,31722.5,325.9,0.8195,480.41,3.63,42.55,809.72,0.0286,-0.002,1.0155,1.8144,0.1686,0.1098,14.2339,1.5822,6.2906,0.0525,0,0,0,-43.972,305.337260689349
1970-01-01 19:09:59.875000000,68999.875,30153.9,31722.3,325.7,0.81902,480.34,3.58,44.15,809.52,0.0278,-0.0191,1.0475,1.9069,0.2312,0.1119,14.4864,1.5868,6.414,0.0545,0,0,0,-43.972,305.336569248699
1970-01-01 19:10:00.070312500,69000.0703125,30169.3,31722.2,325.4,0.81826,480.27,3.49,45.8,809.31,0.0269,-0.0014,1.0348,1.908,0.2412,0.1147,14.6581,1.5864,6.5703,0.0565,0,0,0,-43.971,305.335992551154
1970-01-01 19:10:00.273437500,69000.2734375,30189.2,31722,324.9,0.81717,480.2,3.42,47.48,809.09,0.0285,0.0048,1.0443,1.8996,0.198,0.1174,14.7689,1.5906,6.7275,0.0586,0,0,0,-43.971,305.335531367129
1970-01-01 19:10:00.468750000,69000.46875,30209.3,31721.9,324.9,0.81702,480.13,3.41,49.15,808.88,0.0297,-0.0093,1.0254,1.8554,0.1861,0.1199,14.8401,1.596,6.8687,0.0607,0,0,0,-43.971,305.335186480634
1970-01-01 19:10:00.695312500,69000.6953125,30219,31721.7,324.7,0.81664,480.07,3.32,50.83,808.68,0.0331,-0.0128,1.0449,1.9018,0.2306,0.1224,14.8912,1.6048,7.0157,0.0628,0,0,0,-43.97,305.334958409575
1970-01-01 19:10:00.875000000,69000.875,30205.5,31721.6,324.6,0.81649,480.02,3.3,52.54,808.48,0.0355,0.0002,1.0287,1.866,0.1678,0.1251,14.9243,1.6145,7.1705,0.0649,0,0,0,-43.97,305.334847211213
1970-01-01 19:10:01.070312500,69001.0703125,30192,31721.5,325,0.81728,479.98,3.31,54.27,808.3,0.0367,-0.0014,1.0288,1.8716,0.1228,0.1274,14.9458,1.6267,7.3004,0.067,0,0,0,-43.97,305.334852378848
1970-01-01 19:10:01.273437500,69001.2734375,30178.5,31721.4,325.1,0.81774,479.94,3.31,55.98,808.11,0.0375,0.0028,1.0283,1.8621,0.0952,0.1295,14.9638,1.64,7.4219,0.0692,0,0,0,-43.97,305.334972860205
1970-01-01 19:10:01.468750000,69001.46875,30165,31721.2,324.9,0.81707,479.9,3.29,57.7,807.93,0.0384,-0.0106,1.0351,1.8818,0.1016,0.1314,14.9784,1.6478,7.5288,0.0713,0,0,0,-43.969,305.335207179227
1970-01-01 19:10:01.671875000,69001.671875,30151.6,31721.1,324.9,0.81721,479.87,3.28,59.37,807.75,0.0408,-0.0048,1.0493,1.9341,0.1255,0.1335,14.9899,1.6486,7.6516,0.0734,0,0,0,-43.969,305.335553515129
1970-01-01 19:10:01.875000000,69001.875,30161.6,31721,325.1,0.81769,479.84,3.16,61.09,807.58,0.0411,-0.0094,1.0555,1.9497,0.1461,0.1359,14.9975,1.6506,7.7886,0.0755,0,0,0,-43.969,305.336009689993
1970-01-01 19:10:02.070312500,69002.0703125,30169.8,31720.9,325.1,0.81757,479.81,2.97,62.83,807.39,0.0409,-0.0067,1.0739,1.9952,0.14,0.1385,15.0004,1.6479,7.938,0.0777,0,0,0,-43.969,305.336573174517
1970-01-01 19:10:02.273437500,69002.2734375,30178,31720.9,325.4,0.81841,479.78,2.74,64.63,807.19,0.0404,0.0045,1.0624,1.9666,0.1077,0.1412,15.0022,1.6466,8.0901,0.0799,0,0,0,-43.969,305.33724116675
1970-01-01 19:10:02.468750000,69002.46875,30186.3,31720.9,325.2,0.81787,479.74,2.56,66.41,806.98,0.0403,0.007,1.0572,1.9363,0.0829,0.1435,15.0003,1.6475,8.2202,0.0821,0,0,0,-43.969,305.338010701158
1970-01-01 19:10:02.687500000,69002.6875,30194.6,31720.9,325.4,0.81824,479.7,2.56,68.15,806.78,0.0388,0.0044,1.0177,1.8139,0.0288,0.1454,14.9962,1.6487,8.3306,0.0843,0,0,0,-43.969,305.33887873324
